B,C,G,J,L,N,P,R,T,V,X,Z,AB
0b49f136-2ed7-11ef-a183-99ad05e145f0,ええ,嗯，是的；唉,[sound:ええ_エ＼エ_1_Shinmeikai-mp3-local.mp3],ええ、いいですよ,欸，好的,[sound:hypertts-7ade26a68caa1a08465d9e41aad9c7e68f1e9e9b508fb0f623713e76.mp3],,,,,,
0b49f960-2ed7-11ef-a183-99ad05e145f0,おいしい,美味的，好吃的,[sound:おいしい_オイシイ━_0_NHK-2016-local.mp3],おいしい料理,好吃的菜,[sound:hypertts-a85aa22804eed567cb2925cd7f4ae04bd43e2c5a56d0e6a6d9c9dad0.mp3],,,,,,
0b4a018a-2ed7-11ef-a183-99ad05e145f0,オーストラリア,澳大利亚,[sound:オーストラリア_オーストラ＼リア_5_NHK-2016-local.mp3],豪州,澳大利亚,[sound:hypertts-c217c524edc0666309711acafb45037d7061171b6839ad9714915c37.mp3],,,,,,
0b4a09e6-2ed7-11ef-a183-99ad05e145f0,おじ,（伯父）父母的哥哥；（叔父）父母的弟弟,[sound:おじ_オジ━_0_NHK-2016-local.mp3],世代から言うと、彼は私のおじに当たる,论辈分，他是我的叔父,[sound:hypertts-d2f622b1eb4202702a47357534f3fa5df84341404f69d3a1bda516df.mp3],,,,,,
0b4a11fc-2ed7-11ef-a183-99ad05e145f0,おじいさん,祖父；外公；对年长男性的昵称,[sound:おじいさん_オジ＼ーサン_2_NHK-2016-local.mp3],おじいさんは元気ですか？,爷爷，你好吗？,[sound:hypertts-f2aa24eca87cafc540d90b349f493551a303521410d121ac383e29a7.mp3],,,,,,
0b4a1cec-2ed7-11ef-a183-99ad05e145f0,おじさん,叔叔，伯伯；对其他成年男性的昵称,[sound:おじさん_オジサン━_0_NHK-2016-local.mp3],おばさん,婶婶，阿姨；对其他成年女性的昵称,[sound:hypertts-ccc370275fbe706100d76e20b5b22ad1e837acc9076fb651241ba24b.mp3],,,,,,
0b4a2d7c-2ed7-11ef-a183-99ad05e145f0,おととい,前天,[sound:おととい_オトトイ━_0_NHK-2016-local.mp3],おとといの朝,前天早晨,[sound:hypertts-ad5a7a44e1fa47a34ab45ffa87587cb41f1bf271d8beb37d0144e29f.mp3],,,,,,
0b4a3574-2ed7-11ef-a183-99ad05e145f0,おととし,前年,[sound:おととし_オト＼トシ_2_NHK-2016-local.mp3],おととしから北京に住んでいる,从前年起住在北京,[sound:hypertts-e175dd0f4429a4695809e0c656ce768e11dbdc79773e71c58563c757.mp3],,,,,,
0b4a3d80-2ed7-11ef-a183-99ad05e145f0,おなか,肚子，肠胃,[sound:おなか_オナカ━_0_NHK-2016-local.mp3],おなかが痛い,肚子疼,[sound:hypertts-39fc4a4ab4eb51904d41a9da0163a245e6651ac039adbcc8d8c201d7.mp3],おなかがすいた,肚子饿了,[sound:hypertts-bf0ecea61ec68740b44bb59b06c982adf4f103b965164196e464f6d6.mp3],,,
0b4a45a0-2ed7-11ef-a183-99ad05e145f0,おにぎり,饭团,[sound:おにぎり_オニ＼キ゚リ_2_NHK-2016-local.mp3],おにぎり一個じゃ満腹感がない,只吃一个饭团不会觉得饱,[sound:hypertts-d0e79c01a34eb7770cc8cd803a7a80ab886dbea28b1a309b565af146.mp3],,,,,,
0b4a4e06-2ed7-11ef-a183-99ad05e145f0,おば,（伯母）父母的姐姐；（叔母）父母的妹妹,[sound:おば_オバ━_0_NHK-2016-local.mp3],身寄りといえばあのおば一人だ,要说亲属，只有那位婶母一个人,[sound:hypertts-ee2f3e98d372b8d4ea11f0482fccf4862d23d52c0945be81d509901c.mp3],,,,,,
0b4a564e-2ed7-11ef-a183-99ad05e145f0,おばあさん,祖母；外婆；对年长女性的昵称,[sound:おばあさん_オバ＼ーサン_2_NHK-2016-local.mp3],あなたのおばあさんはお元気ですか,您的祖母身体好吗？,[sound:hypertts-9b5e78ead28a8be29d9963d7ed714a8750b81cdbe1acfd747d54860f.mp3],,,,,,
0b4a6eae-2ed7-11ef-a183-99ad05e145f0,お兄さん,哥哥；对年轻男子的称呼,[sound:お兄さん_オニ＼ーサン_2_NHK-2016-local.mp3],ちょっとお兄さん,喂，小伙子,[sound:hypertts-1498dfaa3621fab8c0c2557040fda969b24a32f5aa555fa21d2ed67d.mp3],,,,,,
0b4a7f5c-2ed7-11ef-a183-99ad05e145f0,お姉さん,姐姐；对年轻女子的称呼,[sound:お姉さん_オネ＼ーサン_2_NHK-2016-local.mp3],お姉さん、お会計だよ,小姐，给我结账！,[sound:hypertts-868a0412578149d6a5d74d1c3c4af4e8647ccfa9f789cca95bee4db1.mp3],,,,,,
0b4a8f74-2ed7-11ef-a183-99ad05e145f0,お茶,茶；工作间隙中的短暂休息,[sound:お茶_オチャ━_0_NHK-2016-local.mp3],お茶を入れる,泡茶；沏茶；上茶,[sound:hypertts-31f9beff16b66edf35084a9bacd18ee4e90994a53995c2c3f4ac7e74.mp3],そろそろお茶にしよう,该休息了,[sound:hypertts-69390c753e66c039271536f2bee373fc687364914c1623f80b0ceaf5.mp3],,,
0b4a9776-2ed7-11ef-a183-99ad05e145f0,お父さん,爸爸；父亲,[sound:お父さん_オト＼ーサン_2_NHK-2016-local.mp3],お父さん、きょうは何時に帰りますか,爸爸，您今天几点钟回来？,[sound:hypertts-44ecf14cced1a938f711d1a89f0524604df060f13945ecee19b71241.mp3],,,,,,
